"Anzeigename des Nutzers","Zeitstempel","Altersklasse","Beziehst du aktuell das Jugendticket BW / Würdest du das Jugendticket BW beziehen wenn du berechtigt wärst?","Begründung/Sonstige Tickets?","Beziehst du aktuell das Deutschlandticket (49 € Ticket)?","Begründung","Würdest du ein vollsolidarisches Deutschlandticket unterstützen?","Begründung","Wie stark würde dich das vollsolidarische bundesweite Semesterticket finanziell treffen? (Skala 1 (kein/kleines Problem) - 10 (nicht finanzierbar))","Sonstige Anmerkungen"
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 20:46:09 GMT+0:00","> 26","Nein","","Ja","","Nein","Das Ticket zu erzwingen, finde ich falsch. Für einige Studierende sind die Zusatzkosten möglicherweise auch zu hoch, da diese auf einen Schlag anfallen.","1",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 20:46:09 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Der Semesterbeitrag wäre dann viel zu hoch und könnte mich finanziell beeinträchtigen. Zudem gibt es für mich keinen Nutzen daraus.","9",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 20:45:12 GMT+0:00","≤ 26","Nein","Muss mit dem Auto fahren, da ÖPNV zu meinem Dorf sehr schlecht ist.","Nein","","Nein","Ziemlich unfair gegenüber denen die es nicht benötigen, die Mehrkosten für die die es nicht benötigen ist deutlich höher als die Ersparnis für die die es benötigen.","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 20:39:25 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 20:38:17 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","9",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 20:29:22 GMT+0:00","≤ 26","Nein","Ich fahr Motorrad / Auto ","Nein","Jugendticket ","Nein","Ich fahre Motorrad und Auto ","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 20:24:36 GMT+0:00","≤ 26","Nein","","Nein","","Nein","Überhaupt nicht, aus meinem Dorf ist die ÖPNV Anbindung so schlecht, das ich nur mit dem Auto kommen muss ","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 20:22:30 GMT+0:00","≤ 26","Nein","Mit Auto zur HdM ","Nein","","Nein","Unfair gegenüber denen die es überhaupt nicht benötigen. Knapp 160 Euro mehr für etwas, was nicht benötigt wird","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 19:47:58 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Für Studierende die im Studierendenwohnheim leben ist dap009s nicht so gut, weil sie das Ticket nicht so oft nutzen ","7",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 19:47:55 GMT+0:00","> 26","Ja","","Nein","","Nein","Zu wenig Ersparnis gegenüber der monatlichen Zahlung für das AusbildungsTicket 27, das auch als Deutschlandticket gilt","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 19:17:26 GMT+0:00","≤ 26","Nein","Bin mit dem Auto unterwegs ","Nein","Bin mit dem Auto unterwegs ","Unentschlossen","Weiß nicht, ob ich immer ein Auto zur Verfügung haben werde ","6",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 19:16:00 GMT+0:00","≤ 26","Ja","","Nein","Ich fahre momentan kaum Öffis. Deshalb spare ich mir das Geld und investiere es in Sprit, welches ich für das Auto benötige.","Nein","Ich finde, wenn es die Möglichkeit gibt, das Jugendticket BW für die 30€ SELBST zu kaufen, dann sollte jeder das einzeln entscheiden dürfen, ob er/sie sich das Ticket kauft. In ein Modell gequetscht zu werden mit erhöhtem Semesterbeitrag für etwas, was ich gar nicht/nur selten nutze, ist eine zu große finanzielle Belastung. Ich sollte alleine entscheiden dürfen, wie ich meine 170€ investiere. Nur wenn mir der Solidarbeitrag über die VS mehr Vorteile bringen würde z.B. dass ich mein Ticket zum Semesterende kündigen kann und kein Jahresabo abschließen muss, dann würde ich den Solidarbeitrag in Erwägung ziehen.","9","Durch die doppelte finanzielle Belastung mit Solidarbeitrag sollte jeder entscheiden dürfen, ob er es sich selbst kaufen möchte. Eine Bestimmung über die VS, dass jeder den Beitrag zahlen muss, finde ich nicht legitim."
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 18:51:51 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 18:36:53 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Ich brauche das nicht ","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 18:33:49 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","6",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 18:32:42 GMT+0:00","≤ 26","Ja","Gerade Pendel ich ","Nein","Hab das Jugend BW","Nein","Ich brauch zwar das Jugend BW Tickt (ich Zahl monatlich) aber da wir den Semesterbeitrag dann auf einmal zahlen müssen, ist das fast nicht finanzierbar. Leider geht das nicht monatlich ","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 18:23:16 GMT+0:00","> 26","Ja","Würde es beziehen weil es günstiger wäre für mich.","Ja","Muss Öffis nutzen und scheint das günstigste Angebot dafür zu sein","Ja","Ich zahle das Deutschlandticket und würde somit dann weniger zahlen.","1",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 18:17:08 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Unfair, jeder kann sich das selbst kaufen, auch wenn es ein paar Euro mehr kostet, ist es einfach falsch 100+ € von Studierenden zu verlangen die keine Verwendung für das Ticket haben.","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 18:16:02 GMT+0:00","> 26","Nein","Lohnt sich für mich nicht","Nein","Bin 100% im Home Office für Studium als auch Arbeit. Fahre maximal 3 mal im Monat Bahn.","Ja","Auf der einen Seite bräuchte ich selbst es gar nicht, auf der anderen Seite ist es natürlich gut für alle die es brauchen. Würde eher zu Ja tendieren, da ich eh nur noch ein Semester vor mir habe.","6",""
